ID,Start time,Completion time,Email,Name,Last modified time,"Provide adequate teaching resources for classes with large enrollments, challenging time schedules or difficult schedules",Upgrade technology and training so that hybrid teaching is possible and of high quality,Provide faculty with mentoring opportunities in competency-based training on undergraduate and graduate-level teaching,Create three-year teaching schedules,Replace student evaluations of teaching with more evidence based methods for ensuring quality teaching,Allow course release for national level service participation (e.g. Chair of a professional society),Provide incentives and training for mentoring PhD students,Create transparent and realistic faculty workload models that distribute workloads equitably across faculty in the department,Any other action not mentioned (type in your answer):,Actions in Teaching,What is your top priority item?,What is your second priority item?,What is your third priority item?,Column8,Column2,Change faculty dispute resolution practices to be more humane and problem solving,"Require leadership training and develop competencies of Chancellors, Deans, Chairs, and administrators related to problem solving, conflict resolution, and academic freedom",Establish salary structures that insure that salaries of faculty are higher than staff and postdoctoral fellows,Decrease the pay gap between tenure track and teaching track faculty,Ensure transparent merit procedures and allocation of available funds,Ensure salary raises for those who have had outstanding performance each year,Deal with salary compression of senior faculty who have served the UW for a long time,Request the UW administration of Seattle-Bothell-Tacoma to come up with a shared vision for the future of the University of Washington's three campuses,"Create an officer or office for faculty wellbeing in Academic Personnel, so there is a person or group responsible for these actions",Any other action not mentioned (type in your answer):2,Action Items Government,What is your top priority item?2,What is your second priority item?2,What is your third priority item?2,What is your third priority item?23,What is your third priority item?22,Create climate for acceptable academic discourse,Provide leadership skills for faculty at all ranks,Provide easy access to mental health services for faculty,Create safety programs for faculty working in all UW environments (labs and classrooms),Co-locate faculty in departments who do similar work (teaching and research topics),"Upgrade office spaces and departments that are clean, colorful, and welcoming",Consider implementing family tuition reimbursement program so our children can get a free or reduced cost of UW education,Create an academic landscape one can understand - this could be done with an organizational chart for each school/department,Any other action not mentioned (type in your answer):3,Action Items Worklife,What is your top priority item?3,What is your second priority item?3,What is your third priority item?3,Column3,Column4,"Foster a supportive research environment around grant writing, publication, and statistical assistance that is free to faculty",Provide access to indirect cost recovery funds to the PI,Assist with creating more research platforms with industry,Co-create funding methods with research faculty,Create research/scientist research series for elevating research methods for all,Update lab equipment for research and teaching,"Create a database of available research staff, so that talent developed at UW can be kept and shared across departmental units and colleges",Any other action not mentioned (type in your answer):4,Actions in Research ,What is your top priority item?4,What is your second priority item?4,What is your third priority item?4,"Below, please write in any other action(s) you would like to see the UW take to address the issues mentioned above:",Column9,What is your main campus location?,Column5,What is your school or college?,Column10,Column6,What is your academic rank?,Column7,What is your sex/gender?,"If you are willing to participate in a qualitative interview related to this survey, please place your UW NetID in the box below. In doing so, your survey responses will no longer be anonymous."
111,4/15/24 16:00:38,4/15/24 16:07:26,anonymous,,,1 - Highest ,3,4,5 - Lowest,5 - Lowest,5 - Lowest,1 - Highest ,3,,,,,,,,4,1 - Highest,1 - Highest,4,,1 - Highest,1 - Highest,3,5 - Lowest,,,Salary raises,Salary structure,Leadership training ,,,1 - Highest,1 - Highest,1 - Highest,3,5 - Lowest,3,5 - Lowest,5 - Lowest,,,Climate for discourse,Leadership training,,,,1 - Highest,2,3,3,3,1 - Highest,4,,,Free grant support resources,Update lab equipment,Access to indirect costs,,,Seattle,,UWS - College of Engineering,,,Professor,,Male,
114,4/15/24 16:01:28,4/15/24 16:08:25,anonymous,,,2,2,3,1 - Highest ,1 - Highest ,2,2,1 - Highest ,,,Realistic faculty workloads,Replace student evaluations,Three-year teaching schedule,,,2,2,3,1 - Highest,1 - Highest,1 - Highest,3,1 - Highest,2,,,Decrease pay gap,Salary structure,Shared vision of leadership,,,2,2,2,2,3,2,1 - Highest,1 - Highest,,,Upgrade office spaces,Family tuition rates,Create organizational charts,,,1 - Highest,1 - Highest,2,2,2,2,2,,,Free grant support resources,Access to indirect costs,Create research methods series,,,Bothell,,UWB - School of Educational Studies,,,Associate Professor,,Female,shearsb@uw.edu
115,4/15/24 16:03:32,4/15/24 16:08:29,anonymous,,,1 - Highest ,1 - Highest ,1 - Highest ,2,1 - Highest ,2,2,1 - Highest ,,,Mentoring for teaching,Upgrade technology,Teaching resources,,,2,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,,,Salary raises,Transparent merit process,Leadership training ,,,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,2,1 - Highest,2,,,Access to mental health,Leadership training,Climate for discourse,,,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,,,Co-create funding methods,Free grant support resources,Create research methods series,,,Seattle,,UWS - School of Social Work,,,Assistant Teaching Professor,,Female,
116,4/15/24 16:00:01,4/15/24 16:08:42,anonymous,,,2,2,3,2,5 - Lowest,3,1 - Highest ,1 - Highest ,,,Realistic faculty workloads,Training for mentoring graduate students,Upgrade technology,,,1 - Highest,1 - Highest,3,1 - Highest,1 - Highest,1 - Highest,1 - Highest,3,3,,,Leadership training ,Transparent merit process,Salary compression,,,1 - Highest,1 - Highest,1 - Highest,1 - Highest,3,4,4,5 - Lowest,,,Leadership training,Access to mental health,Climate for discourse,,,1 - Highest,1 - Highest,3,1 - Highest,2,2,3,,,Access to indirect costs,Free grant support resources,Co-create funding methods,,,Seattle,,UWS - School of Medicine,,,Professor,,Female,
117,4/15/24 16:03:25,4/15/24 16:09:08,anonymous,,,2,4,3,3,4,3,2,1 - Highest ,,,Realistic faculty workloads,Three-year teaching schedule,Training for mentoring graduate students,,,4,4,5 - Lowest,4,3,2,2,4,5 - Lowest,,,Salary compression,Salary raises,,,,2,3,4,4,2,2,3,2,,,Co-locate faculty,Upgrade office spaces,Family tuition rates,,,1 - Highest,2,4,3,3,2,2,,,Free grant support resources,Access to indirect costs,Update lab equipment,,,Seattle,,UWS - School of Pharmacy,,,Assistant Research Professor,,Male,
119,4/15/24 16:06:30,4/15/24 16:10:19,anonymous,,,3,2,3,3,3,4,2,3,,,Upgrade technology,,,,,2,1 - Highest,2,3,2,2,1 - Highest,1 - Highest,2,,,,,,,,2,2,3,3,3,1 - Highest,3,3,,,,,,,,3,3,1 - Highest,3,2,2,2,,,,,,,,Seattle,,UWS - School of Medicine,,,Professor of Clinical Practice,,Male,
126,4/15/24 16:01:18,4/15/24 16:13:07,anonymous,,,1 - Highest ,3,3,3,3,1 - Highest ,2,1 - Highest ,,,Teaching resources,Realistic faculty workloads,Training for mentoring graduate students,,,1 - Highest,1 - Highest,1 - Highest,2,1 - Highest,1 - Highest,2,3,2,,,Salary raises,Transparent merit process,Leadership training ,,,2,3,3,1 - Highest,5 - Lowest,2,1 - Highest,3,,,Family tuition rates,Safety programs,Climate for discourse,,,1 - Highest,1 - Highest,3,1 - Highest,2,2,3,,,Access to indirect costs,Free grant support resources,Co-create funding methods,Hire and train more grant managers to support pre award submission and post award management. ,,Seattle,,UWS - School of Public Health,,,Professor,,Female,
127,4/15/24 16:09:23,4/15/24 16:13:29,anonymous,,,2,3,3,2,2,3,3,3,,,Teaching resources,Replace student evaluations,Three-year teaching schedule,,,3,3,2,1 - Highest,2,2,1 - Highest,1 - Highest,3,,,Decrease pay gap,Salary structure,Salary compression,,,2,3,3,3,4,3,2,4,,,Climate for discourse,Family tuition rates,Leadership training,,,1 - Highest,2,2,2,1 - Highest,1 - Highest,3,,,Access to indirect costs,Update lab equipment,More research platforms,,,Seattle,,UWS - College of Arts & Sciences,,,Professor,,Male,
129,4/15/24 16:02:57,4/15/24 16:13:54,anonymous,,,4,4,3,4,1 - Highest ,4,1 - Highest ,1 - Highest ,,,Realistic faculty workloads,Training for mentoring graduate students,Replace student evaluations,,,3,3,2,2,1 - Highest,2,2,4,5 - Lowest,,,Transparent merit process,Salary structure,Salary raises,,,2,4,3,3,1 - Highest,1 - Highest,4,1 - Highest,,,Upgrade office spaces,Co-locate faculty,Create organizational charts,,,2,3,2,2,4,3,3,,,Free grant support resources,More research platforms,Co-create funding methods,,,Seattle,,UWS - College of Arts & Sciences,,,Assistant Professor,,Male,
130,4/15/24 16:09:43,4/15/24 16:14:19,anonymous,,,1 - Highest ,4,3,2,1 - Highest ,4,2,1 - Highest ,,,Realistic faculty workloads,Teaching resources,Replace student evaluations,,,4,3,1 - Highest,3,2,2,1 - Highest,5 - Lowest,2,,,Salary structure,Salary compression,,,,2,3,3,5 - Lowest,3,4,1 - Highest,2,,,Family tuition rates,,,,,1 - Highest,1 - Highest,1 - Highest,3,3,4,4,,,Access to indirect costs,Free grant support resources,More research platforms,,,Seattle,,UWS - School of Medicine,,,Associate Professor,,Female,
132,4/15/24 16:11:21,4/15/24 16:14:45,anonymous,,,2,3,3,5 - Lowest,2,2,2,2,,,,,,,,2,2,3,2,2,2,2,4,4,,,,,,,,1 - Highest,2,2,2,4,3,2,2,,,,,,,,2,,3,2,3,3,2,,,,,,,,Seattle,,UWS - College of Arts & Sciences,,,Assistant Professor,,Male,
133,4/15/24 16:07:02,4/15/24 16:15:13,anonymous,,,1 - Highest ,3,2,4,1 - Highest ,4,3,1 - Highest ,,,Replace student evaluations,Teaching resources,Mentoring for teaching,,,2,1 - Highest,3,2,1 - Highest,3,2,4,4,,,Leadership training ,Transparent merit process,Salary compression,,,3,1 - Highest,1 - Highest,4,3,3,3,3,,,Leadership training,Access to mental health,,,,1 - Highest,4,2,4,3,3,2,,,Free grant support resources,,,,,Seattle,,UWS - College of Engineering,,,Associate Professor,,Prefer not to share,
135,4/15/24 16:12:42,4/15/24 16:16:10,anonymous,,,2,2,1 - Highest ,2,1 - Highest ,1 - Highest ,3,1 - Highest ,,,Realistic faculty workloads,Teaching resources,Mentoring for teaching,,,2,1 - Highest,1 - Highest,2,3,2,1 - Highest,1 - Highest,3,,,Leadership training ,Shared vision of leadership,Salary compression,,,3,1 - Highest,1 - Highest,1 - Highest,3,3,1 - Highest,3,,,Leadership training,Family tuition rates,Create organizational charts,,,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,3,2,,,Free grant support resources,Create research methods series,Co-create funding methods,,,Tacoma,,UWT - School of Interdisciplinary Arts & Sciences,,,Associate Professor,,Female,
142,4/15/24 16:15:14,4/15/24 16:20:01,anonymous,,,2,1 - Highest ,3,4,1 - Highest ,1 - Highest ,2,1 - Highest ,,,Realistic faculty workloads,Mentoring for teaching,Course release,,,2,1 - Highest,3,2,3,3,3,3,3,,,Leadership training ,Decrease pay gap,Change dispute resolution,,,,1 - Highest,2,3,3,1 - Highest,2,2,,,Upgrade office spaces,Leadership training,Access to mental health,,,3,3,3,3,3,3,3,,,,,,,,Seattle,,UWS - Information School,,,Professor,,Transgender,ajko
143,4/15/24 16:12:23,4/15/24 16:20:12,anonymous,,,1 - Highest ,2,3,3,1 - Highest ,1 - Highest ,2,1 - Highest ,,,Realistic faculty workloads,Course release,Teaching resources,,,2,1 - Highest,1 - Highest,2,1 - Highest,1 - Highest,2,3,1 - Highest,,,Salary raises,Transparent merit process,Leadership training ,,,1 - Highest,1 - Highest,1 - Highest,2,3,3,1 - Highest,3,,,Climate for discourse,Leadership training,Access to mental health,,,1 - Highest,1 - Highest,2,1 - Highest,2,2,2,,,Access to indirect costs,Free grant support resources,More research platforms,,,Seattle,,UWS - Information School,,,Assistant Professor,,,
146,4/15/24 16:16:24,4/15/24 16:21:15,anonymous,,,1 - Highest ,4,2,3,3,5 - Lowest,3,2,,,Teaching resources,Realistic faculty workloads,Mentoring for teaching,,,2,1 - Highest,2,2,3,3,4,1 - Highest,3,,,Leadership training ,Shared vision of leadership,Decrease pay gap,,,4,3,4,2,2,2,2,3,,,Leadership training,Safety programs,Family tuition rates,,,3,4,3,3,3,2,2,,,Update lab equipment,Database of research staff,More research platforms,,,Seattle,,UWS - College of Arts & Sciences,,,Associate Teaching Professor,,Female,
147,4/15/24 16:13:32,4/15/24 16:21:20,anonymous,,,2,4,2,3,3,4,2,2,,,Realistic faculty workloads,Teaching resources,Mentoring for teaching,,,4,4,2,3,3,2,1 - Highest,3,4,,,Salary compression,Salary raises,Transparent merit process,,,3,3,4,4,2,2,1 - Highest,3,,,Family tuition rates,Co-locate faculty,Upgrade office spaces,,,2,1 - Highest,3,3,3,4,4,,,Access to indirect costs,Free grant support resources,Create research methods series,,,Seattle,,UWS - School of Public Health,,,Associate Professor,,Male,brguth
152,4/15/24 16:15:22,4/15/24 16:22:29,anonymous,,,2,2,1 - Highest ,2,1 - Highest ,5 - Lowest,4,2,,,Replace student evaluations,Teaching resources,Mentoring for teaching,,,,,,1 - Highest,,,1 - Highest,,,,,Salary compression,Decrease pay gap,,,,,,,,,5 - Lowest,1 - Highest,1 - Highest,,,Family tuition rates,Create organizational charts,,,,2,,,,,,,,,,,,,,Seattle,,UWS - School of Public Health,,,Associate Teaching Professor,,,
153,4/15/24 16:16:51,4/15/24 16:23:43,anonymous,,,1 - Highest ,2,3,4,4,4,4,1 - Highest ,,,Realistic faculty workloads,Teaching resources,Upgrade technology,,,,2,1 - Highest,3,3,2,2,3,2,,,Leadership training ,Salary compression,Salary raises,,,2,2,1 - Highest,1 - Highest,2,1 - Highest,2,4,,,Safety programs,Upgrade office spaces,Access to mental health,,,1 - Highest,3,2,3,3,1 - Highest,3,,,Free grant support resources,Update lab equipment,More research platforms,,,Seattle,,UWS - College of Engineering,,,Professor,,Prefer not to share,
154,4/15/24 16:21:21,4/15/24 16:25:08,anonymous,,,,,,,,,,1 - Highest ,,,,,,,,3,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,2,,,Transparent merit process,Salary structure,Salary structure,,,2,2,1 - Highest,1 - Highest,2,2,2,1 - Highest,,,Create organizational charts,Access to mental health,,,,3,3,3,3,3,3,3,,,,,,,,Seattle,,UWS - School of Medicine,,,Associate Professor of Clinical Practice,,Female,
156,4/15/24 16:17:12,4/15/24 16:26:02,anonymous,,,2,2,2,4,4,1 - Highest ,1 - Highest ,1 - Highest ,,,Realistic faculty workloads,Course release,Training for mentoring graduate students,,,3,4,4,2,1 - Highest,1 - Highest,1 - Highest,3,3,,,Salary raises,Salary compression,Transparent merit process,,,2,2,1 - Highest,2,2,1 - Highest,1 - Highest,2,,,Upgrade office spaces,Access to mental health,Family tuition rates,,,2,1 - Highest,2,4,3,2,3,,,Access to indirect costs,Update lab equipment,Free grant support resources,Offer sabbatical opportunities for non-tenure track faculty in the SOM (which is most of of us) commensurate with what is available to our colleagues on upper campus. ,,Seattle,,UWS - School of Medicine,,,Professor,,Male,
157,4/15/24 16:18:44,4/15/24 16:26:19,anonymous,,,2,4,1 - Highest ,5 - Lowest,2,3,2,4,,,Mentoring for teaching,Replace student evaluations,Training for mentoring graduate students,,,4,1 - Highest,1 - Highest,2,1 - Highest,1 - Highest,1 - Highest,2,3,,,Salary structure,Leadership training ,Transparent merit process,,,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,3,5 - Lowest,5 - Lowest,,,Climate for discourse,Leadership training,Access to mental health,,,1 - Highest,1 - Highest,4,5 - Lowest,5 - Lowest,5 - Lowest,3,,,Free grant support resources,Access to indirect costs,Database of research staff,,,Seattle,,UWS - College of Arts & Sciences,,,Professor,,Female,
159,4/15/24 16:21:16,4/15/24 16:26:45,anonymous,,,3,1 - Highest ,1 - Highest ,3,1 - Highest ,1 - Highest ,1 - Highest ,1 - Highest ,,,Upgrade technology,Replace student evaluations,Training for mentoring graduate students,,,1 - Highest,1 - Highest,2,2,1 - Highest,2,2,3,2,,,Change dispute resolution,Leadership training ,Transparent merit process,,,1 - Highest,1 - Highest,1 - Highest,2,2,2,2,2,,,Climate for discourse,Upgrade office spaces,Access to mental health,,,1 - Highest,1 - Highest,2,2,1 - Highest,1 - Highest,1 - Highest,,,Access to indirect costs,Co-create funding methods,Update lab equipment,,,Seattle,,UWS - School of Nursing,,,Professor,,Female,
160,4/15/24 16:18:32,4/15/24 16:27:17,anonymous,,,4,4,4,4,4,5 - Lowest,4,4,,,Course release,Mentoring for teaching,Realistic faculty workloads,,,4,4,4,3,4,4,5 - Lowest,4,3,,,Salary compression,Salary raises,Shared vision of leadership,,,4,3,3,3,3,4,5 - Lowest,4,,,Family tuition rates,Climate for discourse,Upgrade office spaces,,,5 - Lowest,4,5 - Lowest,4,4,4,4,,,More research platforms,Free grant support resources,Update lab equipment,,,Seattle,,UWS - School of Medicine,,,Professor,,Male,
161,4/15/24 16:17:26,4/15/24 16:27:29,anonymous,,,1 - Highest ,2,1 - Highest ,5 - Lowest,2,5 - Lowest,4,1 - Highest ,,,Realistic faculty workloads,Teaching resources,Mentoring for teaching,,,3,1 - Highest,2,2,1 - Highest,2,2,1 - Highest,3,,,Leadership training ,Transparent merit process,Shared vision of leadership,,,2,2,2,1 - Highest,2,1 - Highest,1 - Highest,2,,,Safety programs,Upgrade office spaces,Family tuition rates,,,1 - Highest,2,3,1 - Highest,2,2,1 - Highest,,,Free grant support resources,Co-create funding methods,Database of research staff,,,Tacoma,,,,,,,,
162,4/15/24 15:54:16,4/15/24 16:27:29,anonymous,,,2,2,2,1 - Highest ,1 - Highest ,4,1 - Highest ,1 - Highest ,,,Realistic faculty workloads,Teaching resources,Replace student evaluations,,,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,2,2,5 - Lowest,3,,,Change dispute resolution,Salary structure,Transparent merit process,,,2,1 - Highest,1 - Highest,3,1 - Highest,1 - Highest,1 - Highest,5 - Lowest,,,Access to mental health,Family tuition rates,Leadership training,,,1 - Highest,1 - Highest,5 - Lowest,1 - Highest,1 - Highest,5 - Lowest,5 - Lowest,,,Access to indirect costs,Co-create funding methods,Free grant support resources,,,Seattle,,UWS - School of Public Health,,,Professor,,Female,
163,4/15/24 16:22:36,4/15/24 16:28:00,anonymous,,,1 - Highest ,4,2,3,3,3,3,2,,,Teaching resources,Replace student evaluations,Mentoring for teaching,,,2,1 - Highest,4,4,2,3,2,3,2,,,Leadership training ,Leadership training ,Salary compression,,,1 - Highest,1 - Highest,2,3,3,3,3,2,,,Climate for discourse,Leadership training,Access to mental health,,,1 - Highest,3,4,1 - Highest,3,3,2,,,Free grant support resources,More research platforms,Co-create funding methods,,,Tacoma,,,,,Professor,,Female,
166,4/15/24 16:24:43,4/15/24 16:31:34,anonymous,,,2,1 - Highest ,3,3,2,5 - Lowest,3,3,,,Upgrade technology,Replace student evaluations,Teaching resources,,,5 - Lowest,3,4,4,2,2,1 - Highest,3,3,,,Salary compression,Salary structure,Transparent merit process,,,3,2,2,4,4,4,4,5 - Lowest,,,Access to mental health,Leadership training,Family tuition rates,,,2,2,1 - Highest,3,2,3,2,,,More research platforms,Database of research staff,Create research methods series,,,Seattle,,UWS - Foster School of Business,,,Associate Professor,,Male,
167,4/15/24 15:42:28,4/15/24 16:32:23,anonymous,,,3,4,3,5 - Lowest,3,2,2,1 - Highest ,,,Realistic faculty workloads,Course release,Training for mentoring graduate students,,,,,2,2,3,2,2,3,2,,,Leadership training ,Decrease pay gap,Salary compression,,,,2,1 - Highest,2,,,,,,,,,,,,1 - Highest,,,,,,,,,,,,,,Seattle,,UWS - College of Arts & Sciences,,,Professor,,Female,
175,4/15/24 16:32:11,4/15/24 16:37:52,anonymous,,,3,2,2,4,3,3,3,1 - Highest ,,,Realistic faculty workloads,Mentoring for teaching,Upgrade technology,,,3,1 - Highest,3,3,1 - Highest,3,4,3,2,,,Leadership training ,Shared vision of leadership,,,,3,3,2,3,3,3,4,3,,,Access to mental health,Create organizational charts,Safety programs,,,1 - Highest,3,4,3,4,3,3,,,Free grant support resources,Create research methods series,More research platforms,,,Seattle,,UWS - Evans School of Public Policy and Governance,,,Associate Professor,,Prefer not to share,
177,4/15/24 16:33:00,4/15/24 16:38:01,anonymous,,,3,2,1 - Highest ,3,1 - Highest ,4,5 - Lowest,2,,,Replace student evaluations,Upgrade technology,Realistic faculty workloads,,,2,2,3,1 - Highest,1 - Highest,1 - Highest,3,4,5 - Lowest,,,Transparent merit process,Decrease pay gap,Salary raises,,,2,2,3,3,2,2,1 - Highest,1 - Highest,,,Family tuition rates,Create organizational charts,Climate for discourse,,,,,,,,,,,,,,,,,Tacoma,,UWT - Milgard School of Business,,,Assistant Teaching Professor,,Male,
178,4/15/24 16:24:38,4/15/24 16:38:01,anonymous,,,2,1 - Highest ,2,2,3,2,2,1 - Highest ,,,Upgrade technology,Training for mentoring graduate students,Realistic faculty workloads,,,3,2,1 - Highest,2,1 - Highest,3,2,3,1 - Highest,,,Create officer for faculty wellbeing,Salary structure,Transparent merit process,,,2,2,3,3,2,3,2,2,,,Climate for discourse,Leadership training,Co-locate faculty,,,1 - Highest,3,3,2,2,2,2,,,Free grant support resources,Update lab equipment,Database of research staff,,,Seattle,,UWS - School of Medicine,,,Assistant Professor,,Male,
179,4/15/24 16:32:07,4/15/24 16:38:11,anonymous,,,1 - Highest ,3,4,4,2,2,4,1 - Highest ,,,Realistic faculty workloads,Teaching resources,Upgrade technology,,,3,1 - Highest,2,3,4,2,2,1 - Highest,4,,,Shared vision of leadership,Leadership training ,Salary structure,,,3,3,4,4,4,4,4,2,,,Create organizational charts,Leadership training,Upgrade office spaces,,,,,,,,,,,,,,,,,Seattle,,UWS - School of Medicine,,,Assistant Professor,,Female,
180,4/15/24 16:23:11,4/15/24 16:38:13,anonymous,,,1 - Highest ,3,1 - Highest ,2,2,3,3,1 - Highest ,,,Realistic faculty workloads,Mentoring for teaching,Replace student evaluations,,,3,3,1 - Highest,2,2,3,3,3,3,,,Salary structure,Decrease pay gap,Transparent merit process,,,2,3,1 - Highest,2,2,3,3,4,,,Access to mental health,Climate for discourse,Co-locate faculty,,,1 - Highest,2,2,3,3,3,4,,,Free grant support resources,Access to indirect costs,More research platforms,,,Seattle,,UWS - College of the Environment,,,Associate Professor,,Male,
181,4/15/24 16:32:46,4/15/24 16:38:48,anonymous,,,1 - Highest ,1 - Highest ,4,3,2,1 - Highest ,2,2,,,Realistic faculty workloads,Course release,Upgrade technology,,,2,2,1 - Highest,2,1 - Highest,1 - Highest,3,3,3,,,Salary raises,Transparent merit process,Salary structure,,,3,3,5 - Lowest,2,2,2,1 - Highest,2,,,Family tuition rates,Upgrade office spaces,Create organizational charts,,,2,1 - Highest,2,2,2,1 - Highest,2,,,Update lab equipment,Access to indirect costs,Free grant support resources,,,Seattle,,UWS - College of Built Environments,,,Assistant Professor,,Male,
182,4/15/24 16:33:09,4/15/24 16:38:54,anonymous,,,1 - Highest ,5 - Lowest,3,4,1 - Highest ,1 - Highest ,1 - Highest ,2,,,Replace student evaluations,Course release,Teaching resources,,,3,1 - Highest,3,2,1 - Highest,1 - Highest,4,5 - Lowest,1 - Highest,,,Transparent merit process,Leadership training ,Create officer for faculty wellbeing,,,1 - Highest,1 - Highest,1 - Highest,2,1 - Highest,1 - Highest,3,3,,,Upgrade office spaces,Co-locate faculty,Leadership training,,,1 - Highest,2,4,3,2,5 - Lowest,2,,,Free grant support resources,Create research methods series,Database of research staff,,,Seattle,,UWS - College of Engineering,,,Assistant Professor,,Female,
192,4/15/24 16:42:47,4/15/24 16:45:59,anonymous,,,1 - Highest ,4,1 - Highest ,,2,3,,,,,,,,,,,,,,1 - Highest,1 - Highest,2,,,,,,,,,,,,,,,,1 - Highest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,4/15/24 16:40:07,4/15/24 16:46:07,anonymous,,,4,4,5 - Lowest,5 - Lowest,4,2,5 - Lowest,1 - Highest ,,,Other,Other,,,,3,5 - Lowest,5 - Lowest,4,2,2,3,5 - Lowest,5 - Lowest,,,Salary structure,,,,,1 - Highest,4,3,5 - Lowest,2,4,1 - Highest,2,,,Family tuition rates,Co-locate faculty,,,,1 - Highest,1 - Highest,4,3,4,4,4,,,Access to indirect costs,,,,,Seattle,,UWS - School of Medicine,,,Professor,,Male,
196,4/15/24 16:42:01,4/15/24 16:48:31,anonymous,,,4,1 - Highest ,4,3,2,3,2,2,,,Upgrade technology,Replace student evaluations,Three-year teaching schedule,,,5 - Lowest,5 - Lowest,2,1 - Highest,1 - Highest,1 - Highest,1 - Highest,3,5 - Lowest,,,Decrease pay gap,Salary compression,Transparent merit process,,,2,2,3,5 - Lowest,5 - Lowest,4,1 - Highest,2,,,Family tuition rates,Create organizational charts,Leadership training,,,,,,,,,,,,,,,,,Seattle,,UWS - Foster School of Business,,,Assistant Teaching Professor,,Female,nichols3
200,4/15/24 16:43:24,4/15/24 16:51:45,anonymous,,,3,3,4,5 - Lowest,4,5 - Lowest,5 - Lowest,1 - Highest ,,,Realistic faculty workloads,,,,,,3,1 - Highest,4,1 - Highest,2,1 - Highest,,3,,,Salary compression,Salary raises,Transparent merit process,,,3,2,1 - Highest,4,2,4,1 - Highest,3,,,Family tuition rates,Access to mental health,Climate for discourse,,,1 - Highest,2,3,1 - Highest,2,5 - Lowest,4,,,Free grant support resources,Access to indirect costs,Co-create funding methods,,,Seattle,,UWS - School of Medicine,,,Associate Professor,,Female,
201,4/15/24 16:47:57,4/15/24 16:51:48,anonymous,,,4,4,4,4,1 - Highest ,1 - Highest ,1 - Highest ,1 - Highest ,,,Realistic faculty workloads,Course release,Replace student evaluations,,,4,4,2,3,1 - Highest,2,2,3,2,,,Transparent merit process,Salary compression,Salary raises,,,4,3,2,3,3,3,1 - Highest,2,,,Family tuition rates,Access to mental health,Upgrade office spaces,,,2,1 - Highest,3,2,3,4,2,,,Access to indirect costs,Co-create funding methods,Database of research staff,,,Seattle,,UWS - School of Medicine,,,Assistant Professor,,Female,
206,4/15/24 16:52:32,4/15/24 16:57:15,anonymous,,,,,,,,,,,,,,,,,,3,1 - Highest,1 - Highest,2,2,2,1 - Highest,4,2,,,,,,,,,1 - Highest,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,Seattle,,UWS - School of Medicine,,,Professor,,Female,
211,4/15/24 16:53:12,4/15/24 16:58:58,anonymous,,,1 - Highest ,1 - Highest ,3,5 - Lowest,4,5 - Lowest,5 - Lowest,3,,,Upgrade technology,Teaching resources,Realistic faculty workloads,,,3,3,1 - Highest,3,3,2,2,3,4,,,Decrease pay gap,Salary compression,Salary structure,,,2,3,3,3,2,2,5 - Lowest,4,,,Co-locate faculty,Upgrade office spaces,Climate for discourse,,,2,1 - Highest,3,2,2,2,3,,,Access to indirect costs,More research platforms,Co-create funding methods,,,Seattle,,UWS - School of Dentistry,,,Associate Research Professor,,Male,
214,4/15/24 16:18:20,4/15/24 17:05:12,anonymous,,,1 - Highest ,3,3,3,2,5 - Lowest,1 - Highest ,1 - Highest ,,,Realistic faculty workloads,Teaching resources,Upgrade technology,,,,1 - Highest,1 - Highest,3,2,2,3,3,3,,,Leadership training ,Salary structure,Transparent merit process,,,3,3,1 - Highest,2,5 - Lowest,3,1 - Highest,4,,,Access to mental health,Upgrade office spaces,Family tuition rates,,,1 - Highest,5 - Lowest,5 - Lowest,5 - Lowest,3,3,3,,,Free grant support resources,Update lab equipment,Access to indirect costs,,,Seattle,,UWS - College of Arts & Sciences,,,Assistant Professor,,Female,
218,4/15/24 17:05:48,4/15/24 17:09:41,anonymous,,,3,3,3,4,2,5 - Lowest,5 - Lowest,1 - Highest ,,,Realistic faculty workloads,Replace student evaluations,Teaching resources,,,1 - Highest,2,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,5 - Lowest,5 - Lowest,,,Salary compression,Salary raises,Decrease pay gap,,,2,2,3,4,5 - Lowest,5 - Lowest,1 - Highest,1 - Highest,,,Family tuition rates,Family tuition rates,Family tuition rates,,,2,1 - Highest,5 - Lowest,4,3,5 - Lowest,2,,,Access to indirect costs,Free grant support resources,Access to indirect costs,,,Seattle,,UWS - School of Medicine,,,Associate Professor,,Female,
